Unnamed: 0	assigned_cluster
mouse1_lib3.final_cell_0104	endothelial
mouse1_lib3.final_cell_0105	beta
mouse1_lib3.final_cell_0106	beta
mouse1_lib3.final_cell_0107	beta
mouse1_lib3.final_cell_0108	beta
mouse1_lib3.final_cell_0109	T_cell
mouse1_lib3.final_cell_0110	beta
mouse1_lib3.final_cell_0111	beta
mouse1_lib3.final_cell_0112	beta
mouse1_lib3.final_cell_0113	beta
mouse1_lib3.final_cell_0114	delta
mouse1_lib3.final_cell_0115	beta
mouse1_lib3.final_cell_0116	endothelial
mouse1_lib3.final_cell_0117	beta
mouse1_lib3.final_cell_0118	beta
mouse1_lib3.final_cell_0119	ductal
mouse1_lib3.final_cell_0120	delta
mouse1_lib3.final_cell_0121	delta
mouse1_lib3.final_cell_0122	beta
mouse1_lib3.final_cell_0123	delta
mouse1_lib3.final_cell_0124	beta
mouse1_lib3.final_cell_0125	endothelial
mouse1_lib3.final_cell_0126	delta
mouse1_lib3.final_cell_0127	ductal
mouse1_lib3.final_cell_0128	endothelial
mouse1_lib3.final_cell_0129	beta
mouse1_lib3.final_cell_0130	beta
mouse1_lib3.final_cell_0131	beta
mouse1_lib3.final_cell_0132	beta
mouse1_lib3.final_cell_0133	delta
mouse1_lib3.final_cell_0134	ductal
mouse1_lib3.final_cell_0135	beta
mouse1_lib3.final_cell_0136	delta
mouse1_lib3.final_cell_0137	beta
mouse1_lib3.final_cell_0138	beta
mouse1_lib3.final_cell_0139	beta
mouse1_lib3.final_cell_0140	beta
mouse1_lib3.final_cell_0141	beta
mouse1_lib3.final_cell_0142	beta
mouse1_lib3.final_cell_0143	beta
mouse1_lib3.final_cell_0144	delta
mouse1_lib3.final_cell_0145	ductal
mouse1_lib3.final_cell_0146	beta
mouse1_lib3.final_cell_0147	beta
mouse1_lib3.final_cell_0148	quiescent_stellate
mouse1_lib3.final_cell_0149	ductal
mouse1_lib3.final_cell_0150	delta
mouse1_lib3.final_cell_0151	beta
mouse1_lib3.final_cell_0152	beta
mouse1_lib3.final_cell_0153	beta
mouse1_lib3.final_cell_0154	ductal
mouse1_lib3.final_cell_0155	beta
mouse1_lib3.final_cell_0156	ductal
mouse1_lib3.final_cell_0157	ductal
mouse1_lib3.final_cell_0158	ductal
mouse1_lib3.final_cell_0159	beta
mouse1_lib3.final_cell_0160	beta
mouse1_lib3.final_cell_0161	ductal
mouse1_lib3.final_cell_0162	delta
mouse1_lib3.final_cell_0163	endothelial
mouse1_lib3.final_cell_0164	ductal
mouse1_lib3.final_cell_0165	beta
mouse1_lib3.final_cell_0166	ductal
mouse1_lib3.final_cell_0167	ductal
mouse1_lib3.final_cell_0168	delta
mouse1_lib3.final_cell_0169	quiescent_stellate
mouse1_lib3.final_cell_0170	endothelial
mouse1_lib3.final_cell_0171	beta
mouse1_lib3.final_cell_0172	beta
mouse1_lib3.final_cell_0173	delta
mouse1_lib3.final_cell_0174	ductal
mouse1_lib3.final_cell_0175	ductal
mouse1_lib3.final_cell_0176	beta
mouse1_lib3.final_cell_0177	delta
mouse1_lib3.final_cell_0178	beta
mouse1_lib3.final_cell_0179	ductal
mouse1_lib3.final_cell_0180	ductal
mouse1_lib3.final_cell_0181	beta
mouse1_lib3.final_cell_0182	beta
mouse1_lib3.final_cell_0183	beta
mouse1_lib3.final_cell_0184	endothelial
mouse1_lib3.final_cell_0185	ductal
mouse1_lib3.final_cell_0186	beta
mouse1_lib3.final_cell_0187	macrophage
mouse1_lib3.final_cell_0188	beta
mouse1_lib3.final_cell_0189	beta
mouse1_lib3.final_cell_0190	ductal
mouse1_lib3.final_cell_0191	beta
mouse1_lib3.final_cell_0192	beta
mouse1_lib3.final_cell_0193	beta
mouse1_lib3.final_cell_0194	beta
mouse1_lib3.final_cell_0195	beta
mouse1_lib3.final_cell_0196	beta
mouse1_lib3.final_cell_0197	ductal
mouse1_lib3.final_cell_0198	beta
mouse1_lib3.final_cell_0199	beta
mouse1_lib3.final_cell_0200	immune_other
mouse1_lib3.final_cell_0201	beta
mouse1_lib3.final_cell_0202	macrophage
mouse1_lib3.final_cell_0203	quiescent_stellate
mouse1_lib3.final_cell_0204	ductal
mouse1_lib3.final_cell_0205	beta
mouse1_lib3.final_cell_0206	beta
mouse1_lib3.final_cell_0207	ductal
mouse1_lib3.final_cell_0208	delta
mouse1_lib3.final_cell_0209	ductal
mouse1_lib3.final_cell_0210	beta
mouse1_lib3.final_cell_0211	beta
mouse1_lib3.final_cell_0212	beta
mouse1_lib3.final_cell_0213	beta
mouse1_lib3.final_cell_0214	ductal
mouse1_lib3.final_cell_0215	ductal
mouse1_lib3.final_cell_0216	activated_stellate
mouse1_lib3.final_cell_0217	ductal
mouse1_lib3.final_cell_0218	ductal
mouse1_lib3.final_cell_0219	beta
mouse1_lib3.final_cell_0220	B_cell
mouse1_lib3.final_cell_0221	ductal
mouse1_lib3.final_cell_0222	macrophage
mouse1_lib3.final_cell_0223	delta
mouse1_lib3.final_cell_0224	beta
mouse1_lib3.final_cell_0225	macrophage
mouse1_lib3.final_cell_0226	beta
mouse1_lib3.final_cell_0227	beta
mouse1_lib3.final_cell_0228	ductal
mouse1_lib3.final_cell_0229	ductal
mouse1_lib3.final_cell_0230	T_cell
mouse1_lib3.final_cell_0231	ductal
mouse1_lib3.final_cell_0232	ductal
mouse1_lib3.final_cell_0233	beta
mouse1_lib3.final_cell_0234	ductal
mouse1_lib3.final_cell_0235	ductal
mouse1_lib3.final_cell_0236	ductal
mouse1_lib3.final_cell_0237	ductal
mouse1_lib3.final_cell_0238	beta
mouse1_lib3.final_cell_0239	ductal
mouse1_lib3.final_cell_0240	ductal
mouse1_lib3.final_cell_0241	ductal
mouse1_lib3.final_cell_0242	beta
mouse1_lib3.final_cell_0243	ductal
mouse1_lib3.final_cell_0244	ductal
mouse1_lib3.final_cell_0245	delta
mouse1_lib3.final_cell_0246	delta
mouse1_lib3.final_cell_0247	ductal
mouse1_lib3.final_cell_0248	endothelial
mouse1_lib3.final_cell_0249	ductal
mouse1_lib3.final_cell_0250	T_cell
mouse1_lib3.final_cell_0251	ductal
mouse1_lib3.final_cell_0252	ductal
mouse1_lib3.final_cell_0253	endothelial
mouse1_lib3.final_cell_0254	ductal
mouse2_lib1.final_cell_0001	beta
mouse2_lib1.final_cell_0002	beta
mouse2_lib1.final_cell_0003	beta
mouse2_lib1.final_cell_0004	ductal
mouse2_lib1.final_cell_0005	beta
mouse2_lib1.final_cell_0006	beta
mouse2_lib1.final_cell_0007	beta
mouse2_lib1.final_cell_0008	beta
mouse2_lib1.final_cell_0009	delta
mouse2_lib1.final_cell_0010	beta
mouse2_lib1.final_cell_0011	beta
mouse2_lib1.final_cell_0012	beta
mouse2_lib1.final_cell_0013	alpha
mouse2_lib1.final_cell_0014	delta
mouse2_lib1.final_cell_0015	beta
mouse2_lib1.final_cell_0016	beta
mouse2_lib1.final_cell_0017	beta
mouse2_lib1.final_cell_0018	beta
mouse2_lib1.final_cell_0019	beta
mouse2_lib1.final_cell_0020	beta
mouse2_lib1.final_cell_0021	beta
mouse2_lib1.final_cell_0022	beta
mouse2_lib1.final_cell_0023	beta
mouse2_lib1.final_cell_0024	alpha
mouse2_lib1.final_cell_0025	beta
mouse2_lib1.final_cell_0026	beta
mouse2_lib1.final_cell_0027	beta
mouse2_lib1.final_cell_0028	beta
mouse2_lib1.final_cell_0029	beta
mouse2_lib1.final_cell_0030	ductal
mouse2_lib1.final_cell_0031	beta
mouse2_lib1.final_cell_0032	beta
mouse2_lib1.final_cell_0033	delta
mouse2_lib1.final_cell_0034	delta
mouse2_lib1.final_cell_0035	alpha
mouse2_lib1.final_cell_0036	beta
mouse2_lib1.final_cell_0037	alpha
mouse2_lib1.final_cell_0038	beta
mouse2_lib1.final_cell_0039	gamma
mouse2_lib1.final_cell_0040	delta
mouse2_lib1.final_cell_0041	beta
mouse2_lib1.final_cell_0042	delta
mouse2_lib1.final_cell_0043	beta
mouse2_lib1.final_cell_0044	delta
mouse2_lib1.final_cell_0045	delta
mouse2_lib1.final_cell_0046	beta
mouse2_lib1.final_cell_0047	beta
mouse2_lib1.final_cell_0048	alpha
mouse2_lib1.final_cell_0049	beta
mouse2_lib1.final_cell_0050	beta
mouse2_lib1.final_cell_0051	beta
mouse2_lib1.final_cell_0052	beta
mouse2_lib1.final_cell_0053	alpha
mouse2_lib1.final_cell_0054	beta
mouse2_lib1.final_cell_0055	beta
mouse2_lib1.final_cell_0056	alpha
mouse2_lib1.final_cell_0057	beta
mouse2_lib1.final_cell_0058	beta
mouse2_lib1.final_cell_0059	delta
mouse2_lib1.final_cell_0060	delta
mouse2_lib1.final_cell_0061	beta
mouse2_lib1.final_cell_0062	alpha
mouse2_lib1.final_cell_0063	ductal
mouse2_lib1.final_cell_0064	delta
mouse2_lib1.final_cell_0065	beta
mouse2_lib1.final_cell_0066	beta
mouse2_lib1.final_cell_0067	alpha
mouse2_lib1.final_cell_0068	alpha
mouse2_lib1.final_cell_0069	beta
mouse2_lib1.final_cell_0070	alpha
mouse2_lib1.final_cell_0071	alpha
mouse2_lib1.final_cell_0072	alpha
mouse2_lib1.final_cell_0073	beta
mouse2_lib1.final_cell_0074	beta
mouse2_lib1.final_cell_0075	beta
mouse2_lib1.final_cell_0076	alpha
mouse2_lib1.final_cell_0077	beta
mouse2_lib1.final_cell_0078	endothelial
mouse2_lib1.final_cell_0079	beta
mouse2_lib1.final_cell_0080	beta
mouse2_lib1.final_cell_0081	beta
mouse2_lib1.final_cell_0082	delta
mouse2_lib1.final_cell_0083	B_cell
mouse2_lib1.final_cell_0084	alpha
mouse2_lib1.final_cell_0085	alpha
mouse2_lib1.final_cell_0086	ductal
mouse2_lib1.final_cell_0087	beta
mouse2_lib1.final_cell_0088	beta
mouse2_lib1.final_cell_0089	beta
mouse2_lib1.final_cell_0090	beta
mouse2_lib1.final_cell_0091	delta
mouse2_lib1.final_cell_0092	alpha
mouse2_lib1.final_cell_0093	beta
mouse2_lib1.final_cell_0094	beta
mouse2_lib1.final_cell_0095	beta
mouse2_lib1.final_cell_0096	beta
mouse2_lib1.final_cell_0097	delta
mouse2_lib1.final_cell_0098	delta
mouse2_lib1.final_cell_0099	delta
mouse2_lib1.final_cell_0100	delta
mouse2_lib1.final_cell_0101	beta
mouse2_lib1.final_cell_0102	beta
mouse2_lib1.final_cell_0103	beta
mouse2_lib1.final_cell_0104	delta
mouse2_lib1.final_cell_0105	beta
mouse2_lib1.final_cell_0106	beta
mouse2_lib1.final_cell_0107	alpha
mouse2_lib1.final_cell_0108	beta
mouse2_lib1.final_cell_0109	delta
mouse2_lib1.final_cell_0110	gamma
mouse2_lib1.final_cell_0111	beta
mouse2_lib1.final_cell_0112	delta
mouse2_lib1.final_cell_0113	beta
mouse2_lib1.final_cell_0114	beta
mouse2_lib1.final_cell_0115	beta
mouse2_lib1.final_cell_0116	delta
mouse2_lib1.final_cell_0117	beta
mouse2_lib1.final_cell_0118	gamma
mouse2_lib1.final_cell_0119	gamma
mouse2_lib1.final_cell_0120	ductal
mouse2_lib1.final_cell_0121	beta
mouse2_lib1.final_cell_0122	beta
mouse2_lib1.final_cell_0123	beta
mouse2_lib1.final_cell_0124	beta
mouse2_lib1.final_cell_0125	beta
mouse2_lib1.final_cell_0126	beta
mouse2_lib1.final_cell_0127	alpha
mouse2_lib1.final_cell_0128	alpha
mouse2_lib1.final_cell_0129	endothelial
mouse2_lib1.final_cell_0130	beta
mouse2_lib1.final_cell_0131	beta
mouse2_lib1.final_cell_0132	beta
mouse2_lib1.final_cell_0133	beta
mouse2_lib1.final_cell_0134	beta
mouse2_lib1.final_cell_0135	beta
mouse2_lib1.final_cell_0136	beta
mouse2_lib1.final_cell_0137	beta
mouse2_lib1.final_cell_0138	alpha
mouse2_lib1.final_cell_0139	beta
mouse2_lib1.final_cell_0140	beta
mouse2_lib1.final_cell_0141	ductal
mouse2_lib1.final_cell_0142	ductal
mouse2_lib1.final_cell_0143	beta
mouse2_lib1.final_cell_0144	gamma
mouse2_lib1.final_cell_0145	delta
mouse2_lib1.final_cell_0146	gamma
mouse2_lib1.final_cell_0147	beta
mouse2_lib1.final_cell_0148	alpha
mouse2_lib1.final_cell_0149	alpha
mouse2_lib1.final_cell_0150	beta
mouse2_lib1.final_cell_0151	beta
mouse2_lib1.final_cell_0152	ductal
mouse2_lib1.final_cell_0153	alpha
mouse2_lib1.final_cell_0154	beta
mouse2_lib1.final_cell_0155	beta
mouse2_lib1.final_cell_0156	alpha
mouse2_lib1.final_cell_0157	alpha
mouse2_lib1.final_cell_0158	alpha
mouse2_lib1.final_cell_0159	beta
mouse2_lib1.final_cell_0160	beta
mouse2_lib1.final_cell_0161	beta
mouse2_lib1.final_cell_0162	gamma
mouse2_lib1.final_cell_0163	delta
mouse2_lib1.final_cell_0164	beta
mouse2_lib1.final_cell_0165	alpha
mouse2_lib1.final_cell_0166	beta
mouse2_lib1.final_cell_0167	delta
mouse2_lib1.final_cell_0168	beta
mouse2_lib1.final_cell_0169	delta
mouse2_lib1.final_cell_0170	beta
mouse2_lib1.final_cell_0171	alpha
mouse2_lib1.final_cell_0172	beta
mouse2_lib1.final_cell_0173	delta
mouse2_lib1.final_cell_0174	beta
mouse2_lib1.final_cell_0175	alpha
mouse2_lib1.final_cell_0176	beta
mouse2_lib1.final_cell_0177	beta
mouse2_lib1.final_cell_0178	alpha
mouse2_lib1.final_cell_0179	beta
mouse2_lib1.final_cell_0180	beta
mouse2_lib1.final_cell_0181	alpha
mouse2_lib1.final_cell_0182	alpha
mouse2_lib1.final_cell_0183	beta
mouse2_lib1.final_cell_0184	alpha
mouse2_lib1.final_cell_0185	beta
mouse2_lib1.final_cell_0186	alpha
mouse2_lib1.final_cell_0187	alpha
mouse2_lib1.final_cell_0188	beta
mouse2_lib1.final_cell_0189	alpha
mouse2_lib1.final_cell_0190	beta
mouse2_lib1.final_cell_0191	beta
mouse2_lib1.final_cell_0192	beta
mouse2_lib1.final_cell_0193	beta
mouse2_lib1.final_cell_0194	alpha
mouse2_lib1.final_cell_0195	beta
mouse2_lib1.final_cell_0196	alpha
mouse2_lib1.final_cell_0197	beta
mouse2_lib1.final_cell_0198	macrophage
mouse2_lib1.final_cell_0199	alpha
mouse2_lib1.final_cell_0200	beta
mouse2_lib1.final_cell_0201	beta
mouse2_lib1.final_cell_0202	beta
mouse2_lib1.final_cell_0203	delta
mouse2_lib1.final_cell_0204	gamma
mouse2_lib1.final_cell_0205	macrophage
mouse2_lib1.final_cell_0206	gamma
mouse2_lib1.final_cell_0207	beta
mouse2_lib1.final_cell_0208	macrophage
mouse2_lib1.final_cell_0209	alpha
mouse2_lib1.final_cell_0210	alpha
mouse2_lib1.final_cell_0211	beta
mouse2_lib1.final_cell_0212	beta
mouse2_lib1.final_cell_0213	endothelial
mouse2_lib1.final_cell_0214	beta
mouse2_lib1.final_cell_0215	beta
mouse2_lib1.final_cell_0216	delta
mouse2_lib1.final_cell_0217	gamma
mouse2_lib1.final_cell_0218	beta
mouse2_lib1.final_cell_0219	beta
mouse2_lib1.final_cell_0220	immune_other
mouse2_lib1.final_cell_0221	beta
mouse2_lib1.final_cell_0222	delta
mouse2_lib1.final_cell_0223	beta
mouse2_lib1.final_cell_0224	delta
mouse2_lib1.final_cell_0225	beta
mouse2_lib1.final_cell_0226	beta
mouse2_lib1.final_cell_0227	beta
mouse2_lib1.final_cell_0228	beta
mouse2_lib1.final_cell_0229	alpha
mouse2_lib1.final_cell_0230	alpha
mouse2_lib1.final_cell_0231	gamma
mouse2_lib1.final_cell_0232	macrophage
mouse2_lib1.final_cell_0233	beta
mouse2_lib1.final_cell_0234	beta
mouse2_lib1.final_cell_0235	alpha
mouse2_lib1.final_cell_0236	delta
mouse2_lib1.final_cell_0237	activated_stellate
mouse2_lib1.final_cell_0238	beta
mouse2_lib1.final_cell_0239	beta
mouse2_lib1.final_cell_0240	endothelial
mouse2_lib1.final_cell_0241	beta
mouse2_lib1.final_cell_0242	beta
mouse2_lib1.final_cell_0243	beta
mouse2_lib1.final_cell_0244	beta
mouse2_lib1.final_cell_0245	beta
mouse2_lib1.final_cell_0246	endothelial
mouse2_lib1.final_cell_0247	alpha
mouse2_lib1.final_cell_0248	alpha
mouse2_lib1.final_cell_0249	alpha
mouse2_lib1.final_cell_0250	beta
mouse2_lib1.final_cell_0251	macrophage
mouse2_lib1.final_cell_0252	macrophage
mouse2_lib1.final_cell_0253	beta
mouse2_lib1.final_cell_0254	beta
mouse2_lib1.final_cell_0255	beta
mouse2_lib1.final_cell_0256	delta
mouse2_lib1.final_cell_0257	beta
mouse2_lib1.final_cell_0258	beta
mouse2_lib1.final_cell_0259	delta
mouse2_lib1.final_cell_0260	beta
mouse2_lib1.final_cell_0261	delta
mouse2_lib1.final_cell_0262	delta
mouse2_lib1.final_cell_0263	endothelial
mouse2_lib1.final_cell_0264	delta
mouse2_lib1.final_cell_0265	beta
mouse2_lib1.final_cell_0266	beta
mouse2_lib1.final_cell_0267	ductal
mouse2_lib1.final_cell_0268	ductal
mouse2_lib1.final_cell_0269	alpha
mouse2_lib1.final_cell_0270	endothelial
mouse2_lib1.final_cell_0271	beta
mouse2_lib1.final_cell_0272	alpha
mouse2_lib1.final_cell_0273	alpha
mouse2_lib1.final_cell_0274	endothelial
mouse2_lib1.final_cell_0275	beta
mouse2_lib1.final_cell_0276	beta
mouse2_lib1.final_cell_0277	beta
mouse2_lib1.final_cell_0278	beta
mouse2_lib1.final_cell_0279	beta
mouse2_lib1.final_cell_0280	B_cell
mouse2_lib1.final_cell_0281	beta
mouse2_lib1.final_cell_0282	quiescent_stellate
mouse2_lib1.final_cell_0283	alpha
mouse2_lib1.final_cell_0284	alpha
mouse2_lib1.final_cell_0285	activated_stellate
mouse2_lib1.final_cell_0286	endothelial
mouse2_lib1.final_cell_0287	beta
mouse2_lib1.final_cell_0288	beta
mouse2_lib1.final_cell_0289	gamma
mouse2_lib1.final_cell_0290	endothelial
mouse2_lib1.final_cell_0291	beta
mouse2_lib1.final_cell_0292	activated_stellate
mouse2_lib1.final_cell_0293	alpha
mouse2_lib1.final_cell_0294	quiescent_stellate
mouse2_lib1.final_cell_0295	beta
mouse2_lib1.final_cell_0296	delta
mouse2_lib1.final_cell_0297	beta
mouse2_lib1.final_cell_0298	endothelial
mouse2_lib1.final_cell_0299	beta
mouse2_lib1.final_cell_0300	beta
mouse2_lib1.final_cell_0301	B_cell
mouse2_lib1.final_cell_0302	activated_stellate
mouse2_lib1.final_cell_0303	macrophage
mouse2_lib1.final_cell_0304	alpha
mouse2_lib1.final_cell_0305	endothelial
mouse2_lib1.final_cell_0306	macrophage
mouse2_lib1.final_cell_0307	beta
mouse2_lib1.final_cell_0308	delta
mouse2_lib1.final_cell_0309	beta
mouse2_lib1.final_cell_0310	delta
mouse2_lib1.final_cell_0311	delta
mouse2_lib1.final_cell_0312	beta
mouse2_lib1.final_cell_0313	beta
mouse2_lib1.final_cell_0314	beta
mouse2_lib1.final_cell_0315	delta
mouse2_lib1.final_cell_0316	beta
mouse2_lib1.final_cell_0317	quiescent_stellate
mouse2_lib1.final_cell_0318	B_cell
mouse2_lib1.final_cell_0319	endothelial
mouse2_lib1.final_cell_0320	endothelial
mouse2_lib2.final_cell_0001	beta
mouse2_lib2.final_cell_0002	beta
mouse2_lib2.final_cell_0003	beta
mouse2_lib2.final_cell_0004	delta
mouse2_lib2.final_cell_0005	beta
mouse2_lib2.final_cell_0006	beta
mouse2_lib2.final_cell_0007	ductal
mouse2_lib2.final_cell_0008	beta
mouse2_lib2.final_cell_0009	beta
mouse2_lib2.final_cell_0010	beta
mouse2_lib2.final_cell_0011	beta
mouse2_lib2.final_cell_0012	beta
mouse2_lib2.final_cell_0013	gamma
mouse2_lib2.final_cell_0014	beta
mouse2_lib2.final_cell_0015	alpha
mouse2_lib2.final_cell_0016	beta
mouse2_lib2.final_cell_0017	beta
mouse2_lib2.final_cell_0018	beta
mouse2_lib2.final_cell_0019	beta
mouse2_lib2.final_cell_0020	beta
mouse2_lib2.final_cell_0021	ductal
mouse2_lib2.final_cell_0022	alpha
mouse2_lib2.final_cell_0023	alpha
mouse2_lib2.final_cell_0024	beta
mouse2_lib2.final_cell_0025	alpha
mouse2_lib2.final_cell_0026	delta
mouse2_lib2.final_cell_0027	beta
mouse2_lib2.final_cell_0028	alpha
mouse2_lib2.final_cell_0029	beta
mouse2_lib2.final_cell_0030	delta
mouse2_lib2.final_cell_0031	alpha
mouse2_lib2.final_cell_0032	beta
mouse2_lib2.final_cell_0033	beta
mouse2_lib2.final_cell_0034	alpha
mouse2_lib2.final_cell_0035	delta
mouse2_lib2.final_cell_0036	alpha
mouse2_lib2.final_cell_0037	beta
mouse2_lib2.final_cell_0038	beta
mouse2_lib2.final_cell_0039	beta
mouse2_lib2.final_cell_0040	gamma
mouse2_lib2.final_cell_0041	gamma
mouse2_lib2.final_cell_0042	beta
mouse2_lib2.final_cell_0043	beta
mouse2_lib2.final_cell_0044	beta
mouse2_lib2.final_cell_0045	beta
mouse2_lib2.final_cell_0046	delta
mouse2_lib2.final_cell_0047	beta
mouse2_lib2.final_cell_0048	alpha
mouse2_lib2.final_cell_0049	beta
mouse2_lib2.final_cell_0050	alpha
mouse2_lib2.final_cell_0051	alpha
mouse2_lib2.final_cell_0052	alpha
mouse2_lib2.final_cell_0053	beta
mouse2_lib2.final_cell_0054	delta
mouse2_lib2.final_cell_0055	delta
mouse2_lib2.final_cell_0056	beta
mouse2_lib2.final_cell_0057	beta
mouse2_lib2.final_cell_0058	beta
mouse2_lib2.final_cell_0059	beta
mouse2_lib2.final_cell_0060	beta
mouse2_lib2.final_cell_0061	beta
mouse2_lib2.final_cell_0062	delta
mouse2_lib2.final_cell_0063	beta
mouse2_lib2.final_cell_0064	beta
mouse2_lib2.final_cell_0065	beta
mouse2_lib2.final_cell_0066	beta
mouse2_lib2.final_cell_0067	alpha
mouse2_lib2.final_cell_0068	delta
mouse2_lib2.final_cell_0069	beta
mouse2_lib2.final_cell_0070	delta
mouse2_lib2.final_cell_0071	beta
mouse2_lib2.final_cell_0072	beta
mouse2_lib2.final_cell_0073	beta
mouse2_lib2.final_cell_0074	beta
mouse2_lib2.final_cell_0075	beta
mouse2_lib2.final_cell_0076	delta
mouse2_lib2.final_cell_0077	beta
mouse2_lib2.final_cell_0078	beta
mouse2_lib2.final_cell_0079	delta
mouse2_lib2.final_cell_0080	schwann
mouse2_lib2.final_cell_0081	delta
mouse2_lib2.final_cell_0082	alpha
mouse2_lib2.final_cell_0083	delta
mouse2_lib2.final_cell_0084	beta
mouse2_lib2.final_cell_0085	delta
mouse2_lib2.final_cell_0086	delta
mouse2_lib2.final_cell_0087	beta
mouse2_lib2.final_cell_0088	delta
mouse2_lib2.final_cell_0089	delta
mouse2_lib2.final_cell_0090	beta
mouse2_lib2.final_cell_0091	alpha
mouse2_lib2.final_cell_0092	beta
mouse2_lib2.final_cell_0093	alpha
mouse2_lib2.final_cell_0094	alpha
mouse2_lib2.final_cell_0095	beta
mouse2_lib2.final_cell_0096	alpha
mouse2_lib2.final_cell_0097	beta
mouse2_lib2.final_cell_0098	gamma
mouse2_lib2.final_cell_0099	beta
mouse2_lib2.final_cell_0100	beta
mouse2_lib2.final_cell_0101	beta
mouse2_lib2.final_cell_0102	delta
mouse2_lib2.final_cell_0103	beta
mouse2_lib2.final_cell_0104	beta
mouse2_lib2.final_cell_0105	beta
mouse2_lib2.final_cell_0106	beta
mouse2_lib2.final_cell_0107	beta
mouse2_lib2.final_cell_0108	ductal
mouse2_lib2.final_cell_0109	beta
mouse2_lib2.final_cell_0110	beta
mouse2_lib2.final_cell_0111	delta
mouse2_lib2.final_cell_0112	alpha
mouse2_lib2.final_cell_0113	alpha
mouse2_lib2.final_cell_0114	beta
mouse2_lib2.final_cell_0115	endothelial
mouse2_lib2.final_cell_0116	alpha
mouse2_lib2.final_cell_0117	delta
mouse2_lib2.final_cell_0118	beta
mouse2_lib2.final_cell_0119	beta
mouse2_lib2.final_cell_0120	beta
mouse2_lib2.final_cell_0121	beta
mouse2_lib2.final_cell_0122	delta
mouse2_lib2.final_cell_0123	beta
mouse2_lib2.final_cell_0124	alpha
mouse2_lib2.final_cell_0125	beta
mouse2_lib2.final_cell_0126	beta
mouse2_lib2.final_cell_0127	beta
mouse2_lib2.final_cell_0128	beta
mouse2_lib2.final_cell_0129	beta
mouse2_lib2.final_cell_0130	alpha
mouse2_lib2.final_cell_0131	gamma
mouse2_lib2.final_cell_0132	beta
mouse2_lib2.final_cell_0133	beta
mouse2_lib2.final_cell_0134	beta
mouse2_lib2.final_cell_0135	alpha
mouse2_lib2.final_cell_0136	beta
mouse2_lib2.final_cell_0137	beta
mouse2_lib2.final_cell_0138	delta
mouse2_lib2.final_cell_0139	beta
mouse2_lib2.final_cell_0140	macrophage
mouse2_lib2.final_cell_0141	beta
mouse2_lib2.final_cell_0142	alpha
mouse2_lib2.final_cell_0143	alpha
mouse2_lib2.final_cell_0144	beta
mouse2_lib2.final_cell_0145	delta
mouse2_lib2.final_cell_0146	beta
mouse2_lib2.final_cell_0147	endothelial
mouse2_lib2.final_cell_0148	endothelial
mouse2_lib2.final_cell_0149	beta
mouse2_lib2.final_cell_0150	alpha
mouse2_lib2.final_cell_0151	beta
mouse2_lib2.final_cell_0152	beta
mouse2_lib2.final_cell_0153	beta
mouse2_lib2.final_cell_0154	beta
mouse2_lib2.final_cell_0155	beta
mouse2_lib2.final_cell_0156	beta
mouse2_lib2.final_cell_0157	beta
mouse2_lib2.final_cell_0158	beta
mouse2_lib2.final_cell_0159	alpha
mouse2_lib2.final_cell_0160	beta
mouse2_lib2.final_cell_0161	beta
mouse2_lib2.final_cell_0162	alpha
mouse2_lib2.final_cell_0163	delta
mouse2_lib2.final_cell_0164	beta
mouse2_lib2.final_cell_0165	delta
mouse2_lib2.final_cell_0166	beta
mouse2_lib2.final_cell_0167	endothelial
mouse2_lib2.final_cell_0168	beta
mouse2_lib2.final_cell_0169	gamma
mouse2_lib2.final_cell_0170	beta
mouse2_lib2.final_cell_0171	delta
mouse2_lib2.final_cell_0172	beta
mouse2_lib2.final_cell_0173	beta
mouse2_lib2.final_cell_0174	delta
mouse2_lib2.final_cell_0175	alpha
mouse2_lib2.final_cell_0176	beta
mouse2_lib2.final_cell_0177	delta
mouse2_lib2.final_cell_0178	beta
mouse2_lib2.final_cell_0179	beta
mouse2_lib2.final_cell_0180	alpha
mouse2_lib2.final_cell_0181	beta
mouse2_lib2.final_cell_0182	beta
mouse2_lib2.final_cell_0183	beta
mouse2_lib2.final_cell_0184	alpha
mouse2_lib2.final_cell_0185	delta
mouse2_lib2.final_cell_0186	endothelial
mouse2_lib2.final_cell_0187	beta
mouse2_lib2.final_cell_0188	ductal
mouse2_lib2.final_cell_0189	beta
mouse2_lib2.final_cell_0190	beta
mouse2_lib2.final_cell_0191	delta
mouse2_lib2.final_cell_0192	alpha
mouse2_lib2.final_cell_0193	beta
mouse2_lib2.final_cell_0194	beta
mouse2_lib2.final_cell_0195	alpha
mouse2_lib2.final_cell_0196	endothelial
mouse2_lib2.final_cell_0197	beta
mouse2_lib2.final_cell_0198	beta
mouse2_lib2.final_cell_0199	endothelial
mouse2_lib2.final_cell_0200	beta
mouse2_lib2.final_cell_0201	beta
mouse2_lib2.final_cell_0202	alpha
mouse2_lib2.final_cell_0203	alpha
mouse2_lib2.final_cell_0204	activated_stellate
mouse2_lib2.final_cell_0205	delta
mouse2_lib2.final_cell_0206	alpha
mouse2_lib2.final_cell_0207	beta
mouse2_lib2.final_cell_0208	ductal
mouse2_lib2.final_cell_0209	beta
mouse2_lib2.final_cell_0210	beta
mouse2_lib2.final_cell_0211	beta
